gene!isoform	grp1-10-A01	grp1-10-A02	grp1-10-A03	grp1-10-A05	grp1-10-A06	grp1-10-A10	grp1-10-A12	grp1-10-B02	grp1-10-B04	grp1-10-B07	grp1-10-B08	grp1-10-B10	grp1-10-B11	grp1-10-B12	grp1-10-C01	grp1-10-C02	grp1-10-C03	grp1-10-C04	grp1-10-C05	grp1-10-C06	grp1-10-C07	grp1-10-C10	grp1-10-D04	grp1-10-D05	grp1-10-D07	grp1-10-D10	grp1-10-D11	grp1-10-D12	grp1-10-E01	grp1-10-E02	grp1-10-E03	grp1-10-E06	grp1-10-E10	grp1-10-F02	grp1-10-F04	grp1-10-F05	grp1-10-F06	grp1-10-F07	grp1-10-F08	grp1-10-F09	grp1-10-F10	grp1-10-F12	grp1-10-G01	grp1-10-G02	grp1-10-G04	grp1-10-G06	grp1-10-G11	grp1-10-G12	grp1-10-H02	grp1-10-H06	grp1-10-H10	grp1-10-H11	grp1-10-H12	grp1-2-A01	grp1-2-A02	grp1-2-A03	grp1-2-A04	grp1-2-A05	grp1-2-A06	grp1-2-A07	grp1-2-A08	grp1-2-A09	grp1-2-A10	grp1-2-A11	grp1-2-A12	grp1-2-B01	grp1-2-B02	grp1-2-B03	grp1-2-B04	grp1-2-B05	grp1-2-B06	grp1-2-B07	grp1-2-B08	grp1-2-B09	grp1-2-B10	grp1-2-B11	grp1-2-C01	grp1-2-C02	grp1-2-C03	grp1-2-C04	grp1-2-C05	grp1-2-C06	grp1-2-C07	grp1-2-C08	grp1-2-C09	grp1-2-C10	grp1-2-C11	grp1-2-C12	grp1-2-D01	grp1-2-D02	grp1-3-A01	grp1-3-A02	grp1-3-A03	grp1-3-A08	grp1-3-A10	grp1-3-B02	grp1-3-B03	grp1-3-B04	grp1-3-B08	grp1-3-B09	grp1-3-B10	grp1-3-B11	grp1-3-B12	grp1-3-C04	grp1-3-C05	grp1-3-C06	grp1-3-C07	grp1-3-C08	grp1-3-C11	grp1-3-C12	grp1-3-D01	grp1-3-D02	grp1-3-D03	grp1-3-D04	grp1-3-D07	grp1-3-D10	grp1-3-D11	grp1-3-D12	grp1-3-E02	grp1-3-E06	grp1-3-E07	grp1-3-E08	grp1-3-E09	grp1-3-E12	grp1-3-F01	grp1-3-F04	grp1-3-F05	grp1-3-F07	grp1-3-F09	grp1-3-F10	grp1-3-G01	grp1-3-G02	grp1-3-G06	grp1-3-G07	grp1-3-G08	grp1-3-G09	grp1-3-G10	grp1-3-G11	grp1-3-G12	grp1-3-H01	grp1-3-H05	grp1-3-H10	grp1-3-H11	grp1-3-H12	grp1-4-A01	grp1-4-A06	grp1-4-A07	grp1-4-A08	grp1-4-A10	grp1-4-A12	grp1-4-B01	grp1-4-B02	grp1-4-B03	grp1-4-B04	grp1-4-B07	grp1-4-B08	grp1-4-B12	grp1-4-C01	grp1-4-C05	grp1-4-C06	grp1-4-C08	grp1-4-D01	grp1-4-D02	grp1-4-D04	grp1-4-D06	grp1-4-D07	grp1-4-D11	grp1-4-E04	grp1-4-E05	grp1-4-E06	grp1-4-E07	grp1-4-E09	grp1-4-E10	grp1-4-F01	grp1-4-F03	grp1-4-F04	grp1-4-F05	grp1-4-F06	grp1-4-F07	grp1-4-F09	grp1-4-F11	grp1-4-G01	grp1-4-G03	grp1-4-G04	grp1-4-G05	grp1-4-G06	grp1-4-G09	grp1-4-G10	grp1-4-G12	grp1-4-H01	grp1-4-H04	grp1-4-H09	grp1-4-H10	grp1-5-A05	grp1-5-B10	grp1-5-D04	grp1-5-D06	grp1-5-D10	grp1-5-E10	grp1-5-F07	grp1-5-G12	grp1-5-H02	grp1-5-H04	grp1-5-H08	grp1-6-A01	grp1-6-A02	grp1-6-A03	grp1-6-A04	grp1-6-A05	grp1-6-A06	grp1-6-A07	grp1-6-A08	grp1-6-A09	grp1-6-A10	grp1-6-A11	grp1-6-A12	grp1-6-B01	grp1-6-B02	grp1-6-B03	grp1-6-B04	grp1-6-B05	grp1-6-B06	grp1-6-B07	grp1-6-B08	grp1-6-B09	grp1-6-B10	grp1-6-B12	grp1-6-C01	grp1-6-C02	grp1-6-C04	grp1-6-C05	grp1-6-C06	grp1-6-C07	grp1-6-C08	grp1-6-C09	grp1-6-C11	grp1-6-C12	grp1-6-D01	grp1-6-D02	grp1-6-D03	grp1-6-D04	grp1-6-D05	grp1-6-D06	grp1-6-D07	grp1-6-D08	grp1-6-D12	grp1-6-E02	grp1-6-E05	grp1-6-E06	grp1-6-E08	grp1-6-E09	grp1-6-E10	grp1-6-E11	grp1-6-E12	grp1-6-F01	grp1-6-F02	grp1-6-F05	grp1-6-F06	grp1-6-F07	grp1-6-F08	grp1-6-F09	grp1-6-F10	grp1-6-F11	grp1-6-F12	grp1-6-G01	grp1-6-G02	grp1-6-G03	grp1-6-G04	grp1-6-G05	grp1-6-G06	grp1-6-G07	grp1-6-G08	grp1-6-G09	grp1-6-G11	grp1-6-G12	grp1-6-H01	grp1-6-H02	grp1-6-H03	grp1-6-H04	grp1-6-H05	grp1-6-H06	grp1-6-H07	grp1-6-H08	grp1-6-H09	grp1-6-H11	grp1-6-H12
ENSG00000003436!ENST00000233156.exon7_ENST00000233156.exon6_ENST00000233156.exon5_ENST00000233156.exon4_ENST00000233156.exon3_ENST00000233156.exon2_ENST00000233156.exon1_ENST00000233156.exon0		0.0	0.01		0.0		0.0						0.02		0.02		0.01						0.2	0.02			0.18	0.01		0.13	0.02				0.03						0.0	0.02					0.01					0.0		0.0		0.06		0.0	0.29					0.14	0.04		0.07			0.0	0.01		0.03	0.07		0.33			0.04		0.0		0.08	0.0	0.0	0.0			0.03	0.02	0.0	0.02	0.01	0.12	0.0		0.0		0.02		0.02		0.17		0.07	0.0		0.0	0.0	0.0			0.0	0.0		0.0		0.0			0.18	0.03			0.01		0.06	0.0	0.15												0.0				0.32	0.0	0.01			0.02		0.01	0.02	0.0	0.0		0.1	0.2		0.0				0.03		0.01		0.37	0.0	0.05		0.0				0.0	0.0	0.0	0.0	0.02	0.02				0.0			0.0	0.0	0.02	0.0	0.02		0.01	0.01				0.0	0.01		0.06	0.09	0.01		0.0	0.0	0.0		0.01	0.11	0.16		0.0				0.03	0.01	0.0	0.0		0.09	0.2				0.01				0.01					0.0			0.0	0.0		0.0	0.13		0.0	0.06	0.1		0.04	0.03	0.0	0.0	0.01		0.0	0.0				0.04	0.02		0.41				0.01	0.02	0.01		0.01	0.01		0.09	0.01		0.04			0.0	0.0	0.0		0.01	
ENSG00000003436!ENST00000339091.exon6_ENST00000339091.exon5_ENST00000339091.exon4_ENST00000339091.exon3_ENST00000339091.exon2_ENST00000339091.exon1_ENST00000339091.exon0		0.03	0.0		0.0		0.01						0.09		0.01		0.03						0.06	0.01			0.01	0.02		0.0	0.05				0.18						0.02	0.0					0.0					0.0		0.01		0.09		0.0	0.01					0.02	0.08		0.02			0.01	0.06		0.0	0.55		0.0			0.0		0.0		0.02	0.0	0.01	0.01			0.09	0.02	0.0	0.16	0.03	0.05	0.0		0.61		0.05		0.02		0.05		0.02	0.02		0.0	0.01	0.0			0.0	0.02		0.0		0.0			0.03	0.05			0.06		0.07	0.05	0.09												0.01				0.01	0.0	0.05			0.01		0.04	0.0	0.01	0.01		0.05	0.05		0.01				0.06		0.04		0.39	0.01	0.01		0.0				0.28	0.01	0.0	0.02	0.05	0.0				0.01			0.01	0.0	0.03	0.0	0.06		0.0	0.05				0.01	0.02		0.08	0.06	0.01		0.0	0.01	0.01		0.01	0.08	0.0		0.01				0.09	0.05	0.01	0.0		0.12	0.06				0.05				0.03					0.02			0.0	0.0		0.01	0.07		0.01	0.01	0.07		0.01	0.08	0.01	0.01	0.02		0.01	0.0				0.02	0.01		0.01				0.04	0.0	0.01		0.03	0.0		0.08	0.07		0.07			0.01	0.32	0.02		0.01	
ENSG00000003436!ENST00000392365.exon7_ENST00000392365.exon6_ENST00000392365.exon5_ENST00000392365.exon4_ENST00000392365.exon3_ENST00000392365.exon2_ENST00000392365.exon1_ENST00000392365.exon0		0.0	0.76		0.0		0.0						0.03		0.9		0.01						0.29	0.02			0.61	0.0		0.68	0.03				0.02						0.0	0.29					0.96					0.0		0.0		0.22		0.23	0.5					0.51	0.03		0.64			0.0	0.01		0.83	0.01		0.61			0.86		0.0		0.56	0.0	0.0	0.01			0.03	0.01	0.0	0.02	0.01	0.08	0.0		0.0		0.01		0.06		0.28		0.7	0.0		0.0	0.0	0.0			0.0	0.01		0.0		0.0			0.37	0.03			0.01		0.03	0.0	0.12												0.0				0.38	0.0	0.0			0.08		0.01	0.86	0.0	0.0		0.05	0.31		0.0				0.03		0.0		0.01	0.0	0.83		0.0				0.0	0.0	0.0	0.0	0.01	0.01				0.0			0.0	0.0	0.01	0.0	0.02		0.94	0.01				0.0	0.01		0.04	0.04	0.04		0.0	0.0	0.0		0.19	0.18	0.1		0.0				0.05	0.01	0.0	0.0		0.08	0.34				0.01				0.01					0.0			0.0	0.0		0.0	0.08		0.0	0.13	0.05		0.76	0.03	0.0	0.0	0.0		0.0	0.0				0.78	0.91		0.26				0.01	0.17	0.0		0.01	0.01		0.06	0.02		0.03			0.0	0.0	0.0		0.01	
ENSG00000003436!ENST00000409676.exon7_ENST00000409676.exon6_ENST00000409676.exon5_ENST00000409676.exon4_ENST00000409676.exon3_ENST00000409676.exon2_ENST00000409676.exon1_ENST00000409676.exon0		0.01	0.0		0.0		0.01						0.06		0.0		0.02						0.04	0.0			0.01	0.02		0.0	0.03				0.3						0.02	0.0					0.0					0.0		0.0		0.08		0.0	0.01					0.02	0.09		0.03			0.01	0.02		0.0	0.01		0.0			0.0		0.0		0.02	0.0	0.01	0.01			0.1	0.02	0.0	0.2	0.04	0.06	0.0		0.2		0.07		0.02		0.05		0.01	0.02		0.0	0.01	0.0			0.0	0.03		0.0		0.01			0.03	0.11			0.06		0.08	0.02	0.06												0.01				0.01	0.0	0.02			0.01		0.04	0.0	0.01	0.0		0.03	0.05		0.01				0.06		0.03		0.01	0.01	0.01		0.0				0.18	0.01	0.0	0.02	0.06	0.0				0.01			0.01	0.0	0.03	0.01	0.06		0.0	0.06				0.01	0.02		0.06	0.07	0.01		0.0	0.01	0.02		0.0	0.07	0.0		0.03				0.07	0.05	0.01	0.0		0.06	0.04				0.06				0.02					0.01			0.01	0.0		0.01	0.09		0.01	0.0	0.07		0.01	0.06	0.01	0.01	0.01		0.01	0.0				0.01	0.0		0.01				0.04	0.0	0.01		0.02	0.0		0.07	0.05		0.07			0.0	0.03	0.02		0.01	
ENSG00000003436!ENST00000417013.exon3_ENST00000417013.exon2_ENST00000417013.exon1_ENST00000417013.exon0		0.04	0.01		0.01		0.87						0.31		0.02		0.04						0.08	0.02			0.07	0.71		0.13	0.08				0.07						0.73	0.01					0.0					0.01		0.87		0.1		0.01	0.08					0.08	0.03		0.04			0.9	0.36		0.01	0.3		0.03			0.07		0.01		0.05	0.94	0.02	0.65			0.11	0.04	0.01	0.16	0.51	0.22	0.0		0.01		0.31		0.05		0.07		0.03	0.72		0.0	0.04	0.01			0.01	0.03		0.95		0.02			0.08	0.22			0.08		0.11	0.03	0.06												0.81				0.21	0.02	0.2			0.02		0.38	0.01	0.01	0.02		0.34	0.09		0.87				0.26		0.3		0.13	0.06	0.02		0.01				0.39	0.02	0.0	0.67	0.35	0.01				0.26			0.05	0.01	0.18	0.02	0.34		0.01	0.06				0.86	0.12		0.17	0.22	0.01		0.01	0.12	0.04		0.01	0.1	0.67		0.55				0.17	0.08	0.87	0.01		0.13	0.04				0.05				0.52					0.21			0.02	0.01		0.02	0.21		0.77	0.01	0.12		0.04	0.22	0.02	0.04	0.28		0.88	0.01				0.02	0.01		0.23				0.41	0.01	0.85		0.63	0.01		0.2	0.07		0.18			0.9	0.01	0.16		0.03	
ENSG00000003436!ENST00000420747.exon5_ENST00000420747.exon4_ENST00000420747.exon3_ENST00000420747.exon2_ENST00000420747.exon1_ENST00000420747.exon0		0.01	0.01		0.0		0.01						0.06		0.01		0.03						0.05	0.01			0.03	0.03		0.01	0.04				0.05						0.02	0.01					0.0					0.0		0.01		0.06		0.19	0.02					0.04	0.05		0.04			0.01	0.04		0.01	0.01		0.01			0.01		0.01		0.04	0.01	0.01	0.01			0.12	0.03	0.01	0.07	0.03	0.08	0.0		0.01		0.03		0.03		0.06		0.03	0.02		0.0	0.01	0.0			0.0	0.02		0.0		0.01			0.05	0.05			0.04		0.07	0.02	0.07												0.01				0.02	0.01	0.03			0.01		0.05	0.01	0.01	0.01		0.06	0.04		0.01				0.08		0.03		0.02	0.01	0.01		0.0				0.03	0.01	0.0	0.02	0.06	0.01				0.02			0.01	0.01	0.04	0.08	0.06		0.01	0.03				0.02	0.04		0.07	0.06	0.01		0.0	0.03	0.06		0.01	0.07	0.01		0.02				0.09	0.04	0.02	0.01		0.04	0.06				0.03				0.03					0.02			0.01	0.01		0.01	0.06		0.03	0.02	0.06		0.03	0.05	0.01	0.01	0.03		0.01	0.0				0.02	0.01		0.03				0.04	0.01	0.01		0.04	0.0		0.07	0.03		0.06			0.01	0.01	0.55		0.02	
ENSG00000003436!ENST00000421427.exon4_ENST00000421427.exon3_ENST00000421427.exon2_ENST00000421427.exon1_ENST00000421427.exon0		0.02	0.0		0.0		0.01						0.07		0.01		0.03						0.05	0.01			0.01	0.02		0.0	0.06				0.07						0.01	0.0					0.0					0.0		0.0		0.07		0.01	0.01					0.02	0.22		0.02			0.01	0.02		0.01	0.0		0.0			0.0		0.01		0.05	0.01	0.02	0.01			0.08	0.03	0.01	0.05	0.04	0.05	0.0		0.0		0.05		0.03		0.08		0.02	0.03		0.0	0.01	0.0			0.0	0.06		0.01		0.01			0.05	0.06			0.07		0.07	0.01	0.1												0.01				0.01	0.01	0.03			0.01		0.02	0.01	0.01	0.01		0.05	0.04		0.01				0.09		0.03		0.0	0.01	0.01		0.0				0.01	0.01	0.0	0.02	0.06	0.0				0.01			0.02	0.0	0.07	0.01	0.04		0.0	0.08				0.01	0.02		0.07	0.05	0.01		0.0	0.01	0.01		0.0	0.06	0.01		0.02				0.09	0.06	0.01	0.01		0.07	0.04				0.03				0.04					0.01			0.0	0.01		0.01	0.06		0.02	0.01	0.08		0.02	0.1	0.0	0.01	0.02		0.01	0.0				0.01	0.01		0.01				0.02	0.0	0.01		0.03	0.0		0.06	0.06		0.09			0.01	0.0	0.03		0.01	
ENSG00000003436!ENST00000426055.exon7_ENST00000426055.exon6_ENST00000426055.exon5_ENST00000426055.exon4_ENST00000426055.exon3_ENST00000426055.exon2_ENST00000426055.exon1_ENST00000426055.exon0		0.73	0.0		0.89		0.01						0.11		0.0		0.7						0.03	0.87			0.01	0.04		0.0	0.5				0.05						0.02	0.0					0.0					0.94		0.01		0.08		0.18	0.01					0.02	0.07		0.02			0.01	0.3		0.0	0.02		0.0			0.0		0.92		0.03	0.0	0.01	0.23			0.14	0.25	0.0	0.05	0.07	0.06	0.48		0.04		0.06		0.58		0.07		0.01	0.03		0.98	0.01	0.0			0.97	0.02		0.0		0.01			0.03	0.14			0.06		0.08	0.72	0.1												0.02				0.0	0.02	0.36			0.0		0.07	0.01	0.89	0.61		0.06	0.05		0.01				0.1		0.29		0.04	0.01	0.01		0.0				0.01	0.01	0.5	0.05	0.06	0.92				0.2			0.82	0.94	0.04	0.34	0.09		0.0	0.4				0.02	0.64		0.13	0.09	0.7		0.01	0.67	0.35		0.69	0.09	0.01		0.11				0.15	0.04	0.01	0.02		0.18	0.05				0.52				0.05					0.56			0.43	0.39		0.51	0.08		0.03	0.69	0.14		0.01	0.12	0.9	0.01	0.46		0.01	0.95				0.01	0.0		0.01				0.06	0.0	0.02		0.04	0.88		0.06	0.48		0.06			0.01	0.0	0.02		0.01	
ENSG00000003436!ENST00000435414.exon5_ENST00000435414.exon4_ENST00000435414.exon3_ENST00000435414.exon2_ENST00000435414.exon1_ENST00000435414.exon0		0.04	0.0		0.01		0.01						0.05		0.01		0.06						0.07	0.02			0.02	0.02		0.0	0.05				0.07						0.02	0.0					0.0					0.04		0.01		0.1		0.07	0.01					0.02	0.08		0.03			0.01	0.04		0.01	0.01		0.01			0.01		0.01		0.06	0.01	0.43	0.02			0.09	0.03	0.01	0.05	0.04	0.06	0.01		0.1		0.05		0.08		0.04		0.03	0.04		0.0	0.01	0.0			0.0	0.16		0.01		0.01			0.03	0.1			0.05		0.08	0.05	0.07												0.01				0.01	0.0	0.02			0.01		0.05	0.0	0.04	0.31		0.06	0.06		0.01				0.04		0.13		0.01	0.01	0.01		0.01				0.03	0.01	0.02	0.04	0.06	0.01				0.02			0.03	0.01	0.07	0.25	0.08		0.01	0.13				0.01	0.03		0.08	0.07	0.19		0.0	0.04	0.17		0.07	0.07	0.01		0.02				0.07	0.05	0.01	0.01		0.07	0.04				0.1				0.03					0.02			0.18	0.01		0.4	0.04		0.01	0.04	0.1		0.01	0.05	0.02	0.02	0.03		0.01	0.01				0.02	0.01		0.01				0.04	0.0	0.01		0.04	0.04		0.06	0.06		0.09			0.01	0.0	0.03		0.02	
ENSG00000003436!ENST00000437725.exon3_ENST00000437725.exon2_ENST00000437725.exon1_ENST00000437725.exon0		0.06	0.0		0.01		0.02						0.08		0.02		0.04						0.08	0.01			0.02	0.03		0.01	0.06				0.08						0.03	0.0					0.01					0.0		0.01		0.07		0.01	0.02					0.07	0.07		0.05			0.01	0.07		0.01	0.01		0.01			0.01		0.01		0.03	0.01	0.46	0.02			0.11	0.03	0.01	0.07	0.04	0.07	0.0		0.01		0.07		0.06		0.06		0.03	0.03		0.0	0.02	0.0			0.01	0.54		0.01		0.01			0.09	0.08			0.06		0.1	0.05	0.09												0.02				0.01	0.03	0.04			0.02		0.06	0.01	0.02	0.02		0.06	0.06		0.02				0.07		0.06		0.01	0.02	0.02		0.96				0.03	0.02	0.0	0.03	0.05	0.01				0.02			0.02	0.02	0.08	0.01	0.05		0.01	0.1				0.01	0.04		0.08	0.09	0.01		0.01	0.03	0.03		0.01	0.09	0.01		0.18				0.05	0.06	0.02	0.01		0.08	0.07				0.08				0.05					0.11			0.01	0.01		0.03	0.08		0.02	0.02	0.09		0.02	0.07	0.02	0.02	0.04		0.02	0.01				0.04	0.01		0.02				0.08	0.01	0.03		0.05	0.0		0.11	0.07		0.09			0.02	0.01	0.05		0.02	
