gene!isoform	grp2-1-A04	grp2-1-A05	grp2-1-A06	grp2-1-A10	grp2-1-A11	grp2-1-A12	grp2-1-B04	grp2-1-B05	grp2-1-B06	grp2-1-B10	grp2-1-B11	grp2-1-B12	grp2-1-C04	grp2-1-C05	grp2-1-C06	grp2-1-C11	grp2-1-C12	grp2-1-D04	grp2-1-D05	grp2-1-D06	grp2-1-D11	grp2-1-D12	grp2-1-E04	grp2-1-E05	grp2-1-E06	grp2-1-E10	grp2-1-E11	grp2-1-F01	grp2-1-F02	grp2-1-F04	grp2-1-F05	grp2-1-F06	grp2-1-F07	grp2-1-F09	grp2-1-F10	grp2-1-F11	grp2-1-F12	grp2-1-G01	grp2-1-G02	grp2-1-G03	grp2-1-G04	grp2-1-G05	grp2-1-G06	grp2-1-G07	grp2-1-G09	grp2-1-G10	grp2-1-G11	grp2-1-G12	grp2-1-H01	grp2-1-H02	grp2-1-H03	grp2-1-H04	grp2-1-H05	grp2-1-H06	grp2-1-H07	grp2-1-H08	grp2-1-H10	grp2-1-H11	grp2-1-H12	grp2-2-A02	grp2-2-A03	grp2-2-A04	grp2-2-A05	grp2-2-A06	grp2-2-A07	grp2-2-A08	grp2-2-A10	grp2-2-A11	grp2-2-A12	grp2-2-B02	grp2-2-B03	grp2-2-B05	grp2-2-B06	grp2-2-B07	grp2-2-B08	grp2-2-B09	grp2-2-B10	grp2-2-B11	grp2-2-B12	grp2-2-C01	grp2-2-C03	grp2-2-C04	grp2-2-C05	grp2-2-C06	grp2-2-C07	grp2-2-C08	grp2-2-C09	grp2-2-C10	grp2-2-C11	grp2-2-C12	grp2-2-D01	grp2-2-D02	grp2-2-D03	grp2-2-D04	grp2-2-D05	grp2-2-D06	grp2-2-D07	grp2-2-D08	grp2-2-D09	grp2-2-D10	grp2-2-D11	grp2-2-D12	grp2-2-E01	grp2-2-E02	grp2-2-E03	grp2-2-E04	grp2-2-E06	grp2-2-E07	grp2-2-E08	grp2-2-E09	grp2-2-E11	grp2-2-E12	grp2-2-F01	grp2-2-F02	grp2-2-F03	grp2-2-F04	grp2-2-F06	grp2-2-F07	grp2-2-F08	grp2-2-F09	grp2-2-F10	grp2-2-F11	grp2-2-F12	grp2-2-G01	grp2-2-G02	grp2-2-G03	grp2-2-G04	grp2-2-G05	grp2-2-G06	grp2-2-G07	grp2-2-G08	grp2-2-G09	grp2-2-G11	grp2-2-G12	grp2-2-H01	grp2-2-H02	grp2-2-H03	grp2-2-H04	grp2-2-H05	grp2-2-H06	grp2-2-H07	grp2-2-H08	grp2-2-H09	grp2-2-H10	grp2-2-H11	grp2-2-H12
ENSG00000003436!ENST00000339091.exon6_ENST00000339091.exon5_ENST00000339091.exon4_ENST00000339091.exon3_ENST00000339091.exon2_ENST00000339091.exon1_ENST00000339091.exon0	0.0	0.09	0.0	0.01	0.0	0.01	0.0	0.06	0.01	0.0	0.0	0.0	0.01	0.0	0.0	0.02	0.0	0.16	0.02	0.01	0.05	0.01	0.0	0.0	0.0	0.03	0.0	0.11	0.03	0.01	0.01	0.0	0.0	0.01	0.06	0.01	0.16	0.0		0.07	0.06	0.0	0.01	0.0		0.0	0.0	0.0	0.02	0.07	0.0	0.04	0.01	0.01		0.14	0.01		0.0		0.62	0.02	0.03	0.01	0.02	0.02	0.03	0.0	0.0	0.0		0.01	0.01	0.02	0.01		0.01	0.0	0.01	0.0	0.01	0.0	0.01	0.01	0.0	0.0	0.01	0.08	0.01	0.02	0.0	0.0	0.01	0.01	0.07	0.01	0.01	0.01	0.0	0.01	0.03	0.0	0.01	0.01	0.04	0.0	0.0	0.0	0.09	0.01	0.0	0.01	0.04	0.0	0.0	0.0	0.0	0.0	0.02		0.08	0.0	0.0	0.04	0.05	0.01	0.02		0.03	0.0	0.0	0.27	0.01	0.0	0.0	0.01	0.1	0.24	0.0		0.0	0.01	0.34	0.01	0.09	0.0
ENSG00000003436!ENST00000409676.exon7_ENST00000409676.exon6_ENST00000409676.exon5_ENST00000409676.exon4_ENST00000409676.exon3_ENST00000409676.exon2_ENST00000409676.exon1_ENST00000409676.exon0	0.0	0.13	0.0	0.01	0.0	0.0	0.0	0.02	0.01	0.0	0.0	0.01	0.01	0.0	0.0	0.01	0.0	0.01	0.02	0.01	0.08	0.0	0.0	0.0	0.0	0.01	0.0	0.08	0.02	0.01	0.01	0.0	0.0	0.01	0.08	0.01	0.01	0.0		0.08	0.05	0.0	0.0	0.0		0.01	0.0	0.0	0.02	0.08	0.0	0.04	0.0	0.01		0.09	0.01		0.0		0.1	0.02	0.04	0.01	0.02	0.04	0.03	0.0	0.0	0.0		0.01	0.01	0.02	0.0		0.01	0.0	0.01	0.0	0.01	0.0	0.01	0.01	0.0	0.0	0.01	0.07	0.01	0.01	0.0	0.0	0.0	0.01	0.09	0.01	0.0	0.01	0.0	0.0	0.01	0.0	0.01	0.01	0.02	0.0	0.0	0.0	0.09	0.0	0.0	0.02	0.04	0.0	0.0	0.0	0.0	0.0	0.03		0.05	0.0	0.0	0.03	0.04	0.01	0.02		0.02	0.0	0.0	0.18	0.01	0.0	0.0	0.02	0.06	0.04	0.0		0.01	0.0	0.03	0.02	0.07	0.0
ENSG00000003436!ENST00000417013.exon3_ENST00000417013.exon2_ENST00000417013.exon1_ENST00000417013.exon0	0.97	0.09	0.0	0.0	0.9	0.9	0.95	0.05	0.86	0.01	0.94	0.93	0.89	0.97	0.3	0.83	0.95	0.2	0.92	0.06	0.13	0.34	0.95	0.93	0.01	0.86	0.9	0.19	0.66	0.44	0.21	0.93	0.97	0.75	0.21	0.88	0.02	0.94		0.11	0.21	0.96	0.16	0.96		0.53	0.96	0.95	0.59	0.22	0.96	0.04	0.04	0.02		0.05	0.9		0.02		0.03	0.56	0.23	0.82	0.58	0.42	0.06	0.95	0.96	0.86		0.84	0.91	0.73	0.01		0.86	0.91	0.01	0.88	0.83	0.51	0.06	0.88	0.01	0.9	0.9	0.37	0.72	0.87	0.96	0.35	0.9	0.75	0.38	0.79	0.03	0.89	0.95	0.83	0.21	0.96	0.03	0.52	0.68	0.95	0.02	0.94	0.18	0.01	0.91	0.7	0.13	0.1	0.94	0.97	0.96	0.07	0.53		0.09	0.18	0.1	0.5	0.37	0.82	0.08		0.06	0.0	0.95	0.33	0.75	0.35	0.05	0.02	0.2	0.0	0.96		0.06	0.93	0.48	0.74	0.15	0.95
ENSG00000003436!ENST00000420747.exon5_ENST00000420747.exon4_ENST00000420747.exon3_ENST00000420747.exon2_ENST00000420747.exon1_ENST00000420747.exon0	0.0	0.07	0.0	0.01	0.01	0.01	0.0	0.01	0.01	0.0	0.01	0.01	0.01	0.0	0.01	0.02	0.0	0.01	0.01	0.03	0.05	0.03	0.0	0.0	0.0	0.02	0.0	0.05	0.02	0.04	0.08	0.0	0.0	0.02	0.07	0.01	0.01	0.0		0.08	0.05	0.0	0.02	0.0		0.01	0.01	0.0	0.03	0.08	0.0	0.06	0.01	0.01		0.07	0.01		0.0		0.02	0.02	0.08	0.01	0.04	0.04	0.03	0.0	0.0	0.01		0.01	0.01	0.02	0.01		0.01	0.0	0.01	0.01	0.01	0.0	0.01	0.01	0.01	0.01	0.01	0.08	0.02	0.02	0.0	0.01	0.01	0.03	0.05	0.02	0.01	0.01	0.0	0.02	0.03	0.0	0.01	0.02	0.02	0.0	0.01	0.0	0.06	0.01	0.01	0.02	0.52	0.01	0.01	0.0	0.01	0.01	0.04		0.08	0.01	0.01	0.08	0.04	0.02	0.04		0.02	0.01	0.01	0.05	0.02	0.01	0.01	0.01	0.07	0.01	0.0		0.01	0.01	0.03	0.02	0.1	0.01
ENSG00000003436!ENST00000421427.exon4_ENST00000421427.exon3_ENST00000421427.exon2_ENST00000421427.exon1_ENST00000421427.exon0	0.0	0.06	0.0	0.0	0.0	0.01	0.0	0.01	0.0	0.0	0.01	0.01	0.01	0.0	0.0	0.01	0.0	0.01	0.0	0.01	0.06	0.01	0.0	0.0	0.0	0.01	0.01	0.07	0.02	0.02	0.01	0.0	0.0	0.01	0.08	0.01	0.0	0.0		0.09	0.06	0.0	0.02	0.0		0.0	0.0	0.0	0.03	0.08	0.0	0.06	0.01	0.01		0.12	0.0		0.0		0.01	0.02	0.06	0.01	0.02	0.04	0.04	0.0	0.0	0.01		0.01	0.01	0.01	0.01		0.01	0.0	0.01	0.0	0.01	0.0	0.01	0.01	0.0	0.0	0.01	0.04	0.02	0.01	0.0	0.0	0.01	0.02	0.05	0.02	0.01	0.01	0.0	0.01	0.02	0.0	0.01	0.01	0.01	0.0	0.0	0.0	0.08	0.0	0.0	0.01	0.04	0.0	0.01	0.0	0.0	0.01	0.04		0.11	0.0	0.0	0.04	0.05	0.01	0.04		0.05	0.0	0.01	0.02	0.01	0.01	0.0	0.01	0.05	0.0	0.0		0.01	0.01	0.01	0.01	0.07	0.0
ENSG00000003436!ENST00000426055.exon7_ENST00000426055.exon6_ENST00000426055.exon5_ENST00000426055.exon4_ENST00000426055.exon3_ENST00000426055.exon2_ENST00000426055.exon1_ENST00000426055.exon0	0.0	0.09	0.35	0.61	0.01	0.01	0.0	0.01	0.06	0.36	0.01	0.01	0.01	0.0	0.0	0.01	0.0	0.04	0.0	0.01	0.12	0.05	0.01	0.0	0.79	0.01	0.0	0.12	0.03	0.25	0.56	0.0	0.0	0.03	0.12	0.01	0.47	0.0		0.09	0.13	0.0	0.01	0.0		0.31	0.0	0.01	0.03	0.11	0.0	0.04	0.91	0.88		0.11	0.01		0.14		0.02	0.05	0.04	0.01	0.03	0.08	0.04	0.0	0.0	0.0		0.01	0.01	0.02	0.0		0.01	0.0	0.0	0.0	0.01	0.0	0.01	0.01	0.64	0.01	0.0	0.08	0.02	0.01	0.0	0.0	0.01	0.01	0.06	0.02	0.0	0.01	0.0	0.04	0.54	0.0	0.01	0.01	0.03	0.0	0.0	0.01	0.1	0.91	0.01	0.02	0.03	0.0	0.0	0.0	0.0	0.0	0.04		0.1	0.0	0.0	0.06	0.07	0.01	0.02		0.03	0.36	0.0	0.01	0.02	0.0	0.0	0.55	0.09	0.06	0.0		0.0	0.01	0.05	0.02	0.15	0.0
ENSG00000003436!ENST00000435414.exon5_ENST00000435414.exon4_ENST00000435414.exon3_ENST00000435414.exon2_ENST00000435414.exon1_ENST00000435414.exon0	0.0	0.12	0.02	0.35	0.01	0.01	0.0	0.01	0.01	0.03	0.01	0.01	0.01	0.0	0.0	0.02	0.0	0.01	0.01	0.03	0.1	0.02	0.01	0.0	0.17	0.01	0.01	0.09	0.02	0.03	0.07	0.0	0.0	0.02	0.06	0.01	0.01	0.0		0.09	0.09	0.0	0.01	0.0		0.1	0.0	0.0	0.02	0.06	0.0	0.03	0.01	0.03		0.1	0.01		0.0		0.01	0.04	0.05	0.02	0.03	0.04	0.05	0.01	0.0	0.01		0.01	0.01	0.02	0.01		0.01	0.0	0.06	0.01	0.03	0.0	0.03	0.01	0.14	0.01	0.01	0.07	0.01	0.01	0.0	0.0	0.02	0.01	0.06	0.02	0.01	0.01	0.01	0.01	0.02	0.01	0.01	0.01	0.02	0.0	0.0	0.01	0.07	0.03	0.0	0.02	0.06	0.01	0.01	0.0	0.0	0.01	0.03		0.1	0.05	0.01	0.04	0.03	0.01	0.03		0.07	0.02	0.01	0.01	0.02	0.01	0.0	0.33	0.08	0.02	0.0		0.01	0.01	0.01	0.02	0.08	0.0
ENSG00000003436!ENST00000437725.exon3_ENST00000437725.exon2_ENST00000437725.exon1_ENST00000437725.exon0	0.0	0.12	0.0	0.02	0.01	0.02	0.0	0.01	0.01	0.0	0.01	0.01	0.02	0.0	0.0	0.02	0.0	0.01	0.01	0.04	0.07	0.01	0.01	0.0	0.01	0.01	0.01	0.08	0.03	0.02	0.01	0.01	0.01	0.03	0.1	0.02	0.01	0.01		0.1	0.12	0.01	0.02	0.01		0.01	0.0	0.01	0.08	0.06	0.0	0.06	0.01	0.02		0.1	0.01		0.01		0.02	0.02	0.06	0.02	0.03	0.04	0.05	0.01	0.01	0.01		0.02	0.02	0.04	0.01		0.02	0.0	0.04	0.01	0.02	0.01	0.75	0.02	0.17	0.01	0.02	0.07	0.03	0.02	0.01	0.01	0.02	0.03	0.07	0.03	0.01	0.03	0.01	0.01	0.1	0.01	0.01	0.02	0.02	0.01	0.01	0.01	0.07	0.02	0.0	0.01	0.06	0.01	0.01	0.0	0.01	0.01	0.07		0.1	0.01	0.01	0.06	0.06	0.02	0.05		0.47	0.0	0.01	0.04	0.02	0.01	0.01	0.03	0.08	0.0	0.01		0.02	0.01	0.02	0.03	0.09	0.01
ENSG00000003436!ENST00000453013.exon3_ENST00000453013.exon2_ENST00000453013.exon1_ENST00000453013.exon0	0.02	0.14	0.61	0.0	0.06	0.03	0.03	0.81	0.03	0.6	0.02	0.02	0.04	0.01	0.0	0.06	0.04	0.54	0.02	0.1	0.27	0.36	0.01	0.05	0.01	0.04	0.05	0.15	0.16	0.18	0.03	0.05	0.01	0.11	0.09	0.04	0.32	0.03		0.11	0.14	0.01	0.3	0.01		0.02	0.01	0.01	0.16	0.2	0.01	0.06	0.01	0.01		0.11	0.04		0.83		0.17	0.24	0.1	0.08	0.07	0.25	0.37	0.02	0.01	0.09		0.06	0.02	0.11	0.01		0.06	0.06	0.01	0.01	0.05	0.47	0.12	0.04	0.0	0.05	0.03	0.14	0.14	0.03	0.01	0.34	0.03	0.13	0.13	0.08	0.91	0.03	0.02	0.07	0.05	0.01	0.01	0.03	0.16	0.02	0.96	0.02	0.18	0.01	0.06	0.18	0.08	0.01	0.02	0.02	0.01	0.88	0.17		0.1	0.75	0.01	0.12	0.25	0.07	0.06		0.23	0.59	0.02	0.08	0.12	0.61	0.51	0.02	0.2	0.63	0.01		0.86	0.02	0.04	0.12	0.13	0.01
ENSG00000110852!ENST00000228438.exon4_ENST00000228438.exon3_ENST00000228438.exon2_ENST00000228438.exon1_ENST00000228438.exon0	0.59	0.01	0.12		0.88	0.83	0.07	0.86	0.63	0.06		0.3	0.52	0.21	0.17		0.15	0.84	0.97	0.88	0.31	0.67	0.98	0.07	0.53	0.88	0.03				0.2	0.09	0.95		0.63	0.13		0.13			0.15	0.85	0.97		0.93	0.0	0.06	0.81				0.0	0.56	0.07			0.69	0.87			0.81	0.02	0.89	0.84	0.23			0.01					0.94	0.67	0.88		0.79		0.92			0.76	0.78			0.08			0.35	0.09		0.8	0.8				0.84	0.0				0.01	0.77	0.1	0.83	0.84		0.58	0.75	0.83	0.79		0.95		0.91	0.01	0.94	0.66	0.24	0.01	0.52		0.09	0.3	0.02		0.93	0.74	0.85	0.76	0.12	0.86	0.68	0.6		0.73			0.73			0.64			0.8	0.99
